"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1964-Q1","Q1-1964","PER","Persons","3","Thousands",,,1291.667,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1964-Q2","Q2-1964","PER","Persons","3","Thousands",,,1294.885,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1964-Q3","Q3-1964","PER","Persons","3","Thousands",,,1299.395,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1964-Q4","Q4-1964","PER","Persons","3","Thousands",,,1318.046,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1965-Q1","Q1-1965","PER","Persons","3","Thousands",,,1406.746,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1965-Q2","Q2-1965","PER","Persons","3","Thousands",,,1425.852,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1965-Q3","Q3-1965","PER","Persons","3","Thousands",,,1439.516,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1965-Q4","Q4-1965","PER","Persons","3","Thousands",,,1471.058,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q1","Q1-1966","PER","Persons","3","Thousands",,,1464.286,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q2","Q2-1966","PER","Persons","3","Thousands",,,1468.938,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q3","Q3-1966","PER","Persons","3","Thousands",,,1510.081,,
"AUS","Australia","LFACTTFE","Active population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q4","Q4-1966","PER","Persons","3","Thousands",,,1520.958,,
