"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1965-Q1","Q1-1965","PER","Persons","3","Thousands",,,1365.406,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1965-Q2","Q2-1965","PER","Persons","3","Thousands",,,1384.917,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1965-Q3","Q3-1965","PER","Persons","3","Thousands",,,1396.863,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1965-Q4","Q4-1965","PER","Persons","3","Thousands",,,1436.145,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q1","Q1-1966","PER","Persons","3","Thousands",,,1415.073,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q2","Q2-1966","PER","Persons","3","Thousands",,,1424.816,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q3","Q3-1966","PER","Persons","3","Thousands",,,1460.016,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q4","Q4-1966","PER","Persons","3","Thousands",,,1484.6,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1967-Q1","Q1-1967","PER","Persons","3","Thousands",,,1492.501,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1967-Q2","Q2-1967","PER","Persons","3","Thousands",,,1501.55,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1967-Q3","Q3-1967","PER","Persons","3","Thousands",,,1525.251,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1967-Q4","Q4-1967","PER","Persons","3","Thousands",,,1543.275,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1968-Q1","Q1-1968","PER","Persons","3","Thousands",,,1546.974,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1968-Q2","Q2-1968","PER","Persons","3","Thousands",,,1566.129,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1968-Q3","Q3-1968","PER","Persons","3","Thousands",,,1580.49,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1968-Q4","Q4-1968","PER","Persons","3","Thousands",,,1595.856,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1969-Q1","Q1-1969","PER","Persons","3","Thousands",,,1606.729,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1969-Q2","Q2-1969","PER","Persons","3","Thousands",,,1616.581,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1969-Q3","Q3-1969","PER","Persons","3","Thousands",,,1638.652,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1969-Q4","Q4-1969","PER","Persons","3","Thousands",,,1697.398,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q1","Q1-1970","PER","Persons","3","Thousands",,,1693.78,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q2","Q2-1970","PER","Persons","3","Thousands",,,1727.834,,
