ifscode,exptoau,exptobe,exptoca,exptode,exptofi,exptofr,exptogc,exptogr,exptoir,exptoit,exptoja,exptono,exptont,exptonz,exptopo,exptosp,exptosw,exptosz,exptouk,exptous,totexp,exptoas,date10,impfrau,impfrbe,impfrca,impfrde,impfrfi,impfrfr,impfrgc,impfrgr,impfrir,impfrit,impfrja,impfrno,impfrnt,impfrnz,impfrpo,impfrsp,impfrsw,impfrsz,impfruk,impfrus,totimp,impfras,date,ifs32,ifs34,ifs60,ifs60b,ifs64,ifs66i,ifs70d,ifs71d,ifs99,ifs99ab,ifsreu,ifsrf,devaln,revaln,floatn,fix,dwidth,other,country,et,unr,differe,ka,bm,bn,rd,budg,cacc,election,dregime,leftrght,dfin,regstr,govstr,fixed,fltng,ems,eu,nafta,anz,gatt
111,68,385,3827,132,44,484,97,881,31,526,1080,116,593,52,39,201,210,189,1100,,10370,315,19591,61,451,3657.1001,113,53,501,36,995,29,420,1116.2,107,236.2,148,34,85,200,212,1235.3,,9904.7998,215,1959.1,301853016064,139250008064,3,2.5599999,22.156174,33.043175,4142000128,4000999936,2162122293248,483499999232,,1,0,0,0,0,0,0,USA,,,,,,,,-1.5906101,-.11602896,,,,,Control ,Control ,1,0,0,0,0,0,1
111,,,,,,,,,,,,,,,,,,,,,,,19592,,,,,,,,,,,,,,,,,,,,,,,1959.2,307327008768,139172003840,3.5,3.0799999,22.236742,34.642414,4472000000,4298999808,2197785935872,496199991296,,1,0,0,0,0,0,0,USA,,,,,,,,-1.5906101,-.14772269,,,,,,Control ,1,0,0,0,0,0,1
111,,,,,,,,,,,,,,,,,,,,,,,19593,,,,,,,,,,,,,,,,,,,,,,,1959.3,310693986304,140145000448,4,3.5699999,22.375904,33.231319,4374000128,4295000064,2187030298624,496400007168,,1,0,0,0,0,0,0,USA,,,,,,,,-.66511673,-.075141013,,,,,,Control ,1,0,0,0,0,0,1
111,,,,,,,,,,,,,,,,,,,,,,,19594,,,,,,,,,,,,,,,,,,,,,,,1959.4,317239001088,145293000704,4,3.99,22.485769,33.395947,4654000128,4413000192,2199484104704,500500004864,,1,0,0,0,0,0,0,USA,,,,,,,,.045521688,-.094105892,,,,,,Control ,1,0,0,0,0,0,1
111,80,467,3813,146,56,706,103,1277,43,720,1451,108,817,78,47,222,302,254,1492,,12605,423,19601,53,396,3452,107,57,429,37,974,31,427,1247.6,71,231.3,129,42,95,185,214,1079.4,,9412.2998,155,1960.1,313058983936,138932994048,4,3.9300001,22.485769,35.395,4905999872,4264999936,2239223824384,513999994880,,1,0,0,0,0,0,0,USA,65.213333,5.1718292,,,,,,-.03825108,.068093389,,,,,,Control ,1,0,0,0,0,0,1
111,,,,,,,,,,,,,,,,,,,,,,,19602,,,,,,,,,,,,,,,,,,,,,,,1960.2,317513990144,139365007360,3.5,3.7,22.624933,34.642414,5382000128,4270000128,2234355286016,512900005888,,1,0,0,0,0,0,0,USA,66.061333,5.1474352,,,,,,-.163965,.10157926,,,,,,Control ,1,0,0,0,0,0,1
111,,,,,,,,,,,,,,,,,,,,,,,19603,,,,,,,,,,,,,,,,,,,,,,,1960.2999,325291999232,140422004736,3,2.9400001,22.683527,34.054459,4945999872,3961999872,2237412147200,515800006656,,1,0,0,0,0,0,0,USA,66.023666,5.5622039,,,,,,.76653677,.16072121,,,,,,Control ,1,0,0,0,0,0,1
111,,,,,,,,,,,,,,,,,,,,,,,19604,,,,,,,,,,,,,,,,,,,,,,,1960.3999,336441999360,146569003008,3,2.3,22.808041,33.254837,5365000192,3873999872,2224844963840,510800003072,,1,0,0,0,0,0,0,USA,65.839684,6.2638221,,,,,,.35145086,.21985121,1,1,1,,Control ,Control ,1,0,0,0,0,0,1
111,59,463,3838,147,56,708,101,1354,49,879,1841,110,766,71,66,301,262,274,1212,,12914,357,19611,49,380,3555,118,49,470,45,924,33,405,1139.7,81,224.39999,140,49,90,151,206,973.20001,,9281.2998,199,1961.1,338824986624,140591005696,3,2,22.822689,32.760952,5276000256,3764000000,2241374978048,515099983872,,1,0,0,0,0,0,0,USA,65.737999,6.7854609,,,,,,-.84059161,.23548827,,,,1,,Control ,1,0,0,0,0,0,1
111,,,,,,,,,,,,,,,,,,,,,,,19612,,,,,,,,,,,,,,,,,,,,,,,1961.2,344376999936,141604995072,3,1.74,22.830013,34.030941,5177999872,3812000000,2274321235968,525899988992,,1,0,0,0,0,0,0,USA,65.605331,6.9854488,,,,,,-1.5725634,.17056476,,,,,,Control ,1,0,0,0,0,0,1
